FID,osm_id,name,ref,type,oneway,bridge,maxspeed
2871,104823516.000000000000000,津雄高速, ,motorway,1,1,0
2872,104823519.000000000000000,津雄高速, ,motorway,1,0,0
2873,104824212.000000000000000,津雄高速, ,motorway,1,1,0
2874,104824217.000000000000000,津雄高速, ,motorway,1,0,0
2875,104824907.000000000000000,津雄高速, ,motorway,1,0,0
2876,104824909.000000000000000,津雄高速, ,motorway,1,0,0
2877,104824911.000000000000000,津雄高速, ,motorway,1,1,0
2878,104824912.000000000000000,津雄高速, ,motorway,1,1,0
2879,104824915.000000000000000,津雄高速, ,motorway,1,0,0
2880,104824916.000000000000000,津雄高速, ,motorway,1,1,0
2881,104825694.000000000000000,津雄高速, ,motorway,1,0,0
2882,104825695.000000000000000,津雄高速, ,motorway,1,1,0
2883,104826311.000000000000000,津雄高速, ,motorway,1,1,0
2884,104826314.000000000000000,津雄高速, ,motorway,1,1,0
2885,104826318.000000000000000,津雄高速, ,motorway,1,0,0
2886,104826320.000000000000000,津雄高速, ,motorway,1,0,0
2887,104827544.000000000000000,津雄高速,S7,motorway,1,1,0
2888,104827547.000000000000000,津雄高速,S7,motorway,1,0,0
2889,104828513.000000000000000,津雄高速, ,motorway,1,1,0
2890,104828517.000000000000000,津雄高速, ,motorway,1,0,0
2891,104828518.000000000000000,津雄高速, ,motorway,1,1,0
2892,104828521.000000000000000,津雄高速,S7,motorway,1,0,0
2893,104828813.000000000000000,津雄高速, ,motorway,1,0,0
2894,104829849.000000000000000,津雄高速, ,trunk,1,0,0
2895,104829850.000000000000000,津雄高速, ,trunk,1,0,0
2896,104829855.000000000000000,津雄高速, ,trunk,1,1,0
2897,104829856.000000000000000,津雄高速, ,trunk,1,1,0
2898,104830568.000000000000000,津雄高速, ,trunk,1,0,0
2899,104830570.000000000000000,津雄高速, ,trunk,1,0,0
2900,104831563.000000000000000,辰昌路, ,trunk,1,1,0
2901,104831566.000000000000000,津雄高速, ,trunk,1,0,0
2902,104832221.000000000000000, , ,trunk_link,1,0,0
2903,104832988.000000000000000,辰昌路, ,primary,1,0,0
2904,104832991.000000000000000,津雄高速, ,motorway,1,0,0
2905,104832994.000000000000000,辰昌路, ,trunk,1,1,0
